STATE,LIB_ID,LIB_NAME,COUNTY,BK_MOB,MS_LIBRARIANS,LIBRARIANS,LOC_GVT,ST_GVT,FED_GVT,OTH_INCM,TOT_INCM,STAFF_EXP,PR_MAT_EXP,EL_MAT_EXP,OTH_MAT_EX,TOT_EXP_CO,OTH_OP_EXP,TOT_OP_EXP,L_CAP_REV,S_CAP_REV,F_CAP_REV,O_CAP_REV,CAP_REV,CAPITAL,BOOKS,EBOOKS,DB_LO_OT,DB_ST,DATABASE,SUBSCRIP,HRS_OPEN,VISITS,CARDHOLDERS,TOT_CIR,EL_MAT_CIR,GPTERMS,PITUSR,YR_SUB,OBEREG,FIPSST,FIPSCO,FIPSPLAC,COUNTY_POP,LAT,LON
KS,KS0094,FORMOSO PUBLIC LIBRARY,JEWELL,0,0,0.25,4842,3366,201,0,8409,,207,0,0,207,,7399,420,0,0,0,420,0,5308,0,0,51,51,40,520,1674,276,1608,0,7,542,2014,4,20,89,23825,3067,39.7804842,-97.9931789
KS,KS0231,NORCATUR PUBLIC LIBRARY,DECATUR,0,0,0.12,2511,1060,0,1000,4571,,1025,0,500,1525,,3525,0,0,0,0,0,0,7780,0,0,51,51,0,664,370,100,1700,0,2,25,2014,4,20,39,50925,2915,39.8339357,-100.189189
KS,KS0014,AXTELL PUBLIC LIBRARY,MARSHALL,0,0,0.3,5960,1411,0,113,7484,,1250,0,161,1411,,7587,0,0,0,0,0,0,5969,0,0,51,51,0,624,2070,202,1835,0,4,629,2014,4,20,117,3600,10028,39.8724771,-96.2591012
ME,264,MONROE COMMUNITY LIBRARY,WALDO,0,0,0,500,0,0,0,500,,367,0,0,367,,367,0,0,0,0,0,0,2100,0,0,0,0,0,1664,600,48,584,0,0,0,2014,1,23,27,0,38975,44.5685775,-69.0060583
ME,310,PALERMO COMMUNITY LIBRARY,WALDO,0,0,0,3712,0,0,2837,6549,,367,0,0,367,,2229,0,0,0,0,0,92,8548,0,66,0,66,0,660,689,761,1302,0,3,1749,2014,1,23,27,0,38975,44.373118,-69.3948386
ND,ND0104,ELGIN PUBLIC LIBRARY,GRANT,0,0,0,2300,431,0,10837,13568,,0,71,0,71,,6016,0,0,0,0,0,0,9800,0,31,25,56,0,2040,4029,226,2099,0,4,590,2014,4,38,37,23020,2371,46.4023898,-101.8455418
NE,NE0008-003,ANSLEY TOWNSHIP LIBRARY,CUSTER,0,0,0.24,4492,0,0,223,4715,,0,0,0,0,,6486,0,0,0,0,0,1827,22324,0,0,20,20,38,312,985,220,1193,-1,5,1309,2014,4,31,41,1535,10796,41.2879706,-99.3806397
SD,FSCS 69,WAGE MEMORIAL LIBRARY,BROWN,0,0,0.13,3299,0,0,71,3370,,458,0,185,643,,3475,0,0,0,0,0,0,3039,0,0,40,40,0,2340,800,1400,1969,0,2,243,2014,4,46,13,26340,38162,45.447608,-98.098644
SD,FSCS 73,TRIPP PUBLIC LIBRARY,HUTCHINSON,0,0,0.13,4500,0,0,468,4968,,249,0,300,549,,4733,0,0,0,0,0,0,6756,0,0,40,40,0,416,5824,251,4089,0,4,273,2014,4,46,67,64020,7170,43.2264285,-97.9670374
TX,169,GROVETON PUBLIC LIBRARY,TRINITY,0,0,0.5,21393,0,0,357,21750,,915,0,0,915,,19939,0,0,0,0,0,0,7280,0,0,0,0,5,1968,2998,593,2469,0,2,1750,2014,6,48,455,31340,14401,31.0612023,-95.1366214
