LIB_ID,LIB_NAME,FIPS_ST,FIPS_CO,COUNTY_POP,LAT,LON
AK0001-002,ANCHOR POINT PUBLIC LIBRARY,2,122,57067,59.7796042,-151.8400068
AK0002-007,CHUGIAK/EAGLE RIVER NEIGHBORHOOD LIBRARY,2,20,301629,61.328973,-149.572216
AK0002-008,MULDOON NEIGHBORHOOD LIBRARY,2,20,301629,61.210605,-149.733371
AK0002-010,SCOTT AND WESLEY GERRISH NEIGHBORHOOD LIBRARY,2,20,301629,60.971814,-149.126406
AK0002-011,Z. J. LOUSSAC LIBRARY,2,20,301629,61.187677,-149.876781
AK0002-012,MOUNTAIN VIEW NEIGHBORHOOD LIBRARY,2,20,301629,61.2237619,-149.8085248
AK0003-002,ANDERSON VILLAGE LIBRARY,2,68,1933,64.3435982,-149.1786346
AK0006-002,KUSKOKWIM CONSORTIUM LIBRARY,2,50,17806,60.7857552,-161.8029566
AK0007-002,BIG LAKE PUBLIC LIBRARY,2,170,95892,61.546612,-149.818403
AK0008-002,CANTWELL COMMUNITY LIBRARY,2,68,1933,63.461051,-148.757407
AK0011-002,CHINIAK PUBLIC LIBRARY,2,150,14115,57.6122291,-152.2325806
AK0014-002,COLD BAY PUBLIC LIBRARY,2,13,3351,55.206634,-162.7133916
AK0015-002,COOPER LANDING COMMUNITY LIBRARY,2,122,57067,60.487401,-150.010519
AK0016-002,CORDOVA PUBLIC LIBRARY,2,261,9770,60.5479952,-145.766031
AK0017-003,CRAIG PUBLIC LIBRARY,2,198,6402,55.4761261,-133.1514564
AK0019-002,DELTA COMMUNITY LIBRARY,2,240,6969,64.0465711,-145.7334852
AK0020-002,DILLINGHAM PUBLIC LIBRARY,2,70,4988,59.0402542,-158.4667361
AK0021-002,EAGLE PUBLIC LIBRARY,2,240,6969,64.786619,-141.201518
AK0041-002,CHUKCHI CONSORTIUM LIBRARY,2,188,7697,66.8970613,-162.5928328
AK0023-002,FAIRBANKS NORTH STAR BOROUGH PUBLIC LIBRARY,2,90,100807,64.838318,-147.738617
AK0023-003,NORTH POLE BRANCH LIBRARY,2,90,100807,64.749182,-147.350711
AK0023-004,FAIRBANKS NORTH STAR BOROUGH PUBLIC LIBRARY,2,90,100807,64.838318,-147.738617
AK0025-002,CHARLES EVANS COMMUNITY/SCHOOL LIBRARY,2,290,5654,64.7480237,-156.8723252
AK0027-002,COPPER VALLEY COMMUNITY LIBRARY,2,261,9770,62.198412,-146.050333
AK0028-002,GUSTAVUS PUBLIC LIBRARY,2,105,2134,58.4130833,-135.726709
AK0029-002,HAINES BOROUGH PUBLIC LIBRARY,2,100,2569,59.232844,-135.4480632
AK0030-002,TRI-VALLEY COMMUNITY LIBRARY,2,68,1933,63.8734912,-149.0170333
AK0031-002,HOLLIS PUBLIC LIBRARY,2,198,6402,55.781881,-133.075907
AK0032-002,HOMER PUBLIC LIBRARY,2,122,57067,59.640502,-151.544299
AK0033-002,HOPE COMMUNITY LIBRARY,2,122,57067,60.109417,-149.445094
AK0035-002,DOUGLAS PUBLIC LIBRARY,2,110,32626,58.276862,-134.395337
AK0035-003,MENDENHALL VALLEY PUBLIC LIBRARY,2,110,32626,58.3717703,-134.5846906
AK0035-004,JUNEAU PUBLIC LIBRARIES,2,110,32626,58.2984755,-134.4036617
AK0037-002,KASILOF PUBLIC LIBRARY,2,122,57067,60.3125872,-151.2603381
AK0038-002,KENAI COMMUNITY LIBRARY,2,122,57067,60.5585732,-151.2442311
AK0039-002,KETCHIKAN PUBLIC LIBRARY,2,130,13695,55.352711,-131.650729
AK0040-002,A. HOLMES JOHNSON MEMORIAL LIBRARY,2,150,14115,57.7939208,-152.3986029
AR,LEON PUBLIC LIBRARY,19,53,8245,40.7395297,-93.7493247
AK0041-003,SELAWIK DAVIS RAMOTH COMMUNITY LIBRARY,2,188,7697,66.285286,-159.531733
AK0044-002,MCGRATH COMMUNITY LIBRARY,2,290,5654,62.909259,-160.065507
AK0046-002,CENTENNIAL LIBRARY,2,198,6402,55.128483,-131.575207
AK0047-003,SOUTH NAKNEK PUBLIC LIBRARY,2,60,955,58.7323005,-156.9862995
AK0047-004,MARTIN MONSEN REGIONAL LIBRARY,2,60,955,58.6820703,-156.6675022
AK0048-002,NENANA PUBLIC LIBRARY,2,290,5654,64.5624425,-149.0928496
AK0051-002,NINILCHIK COMMUNITY LIBRARY,2,122,57067,60.0277445,-151.6922728
AK0052-002,KEGOAYAH KOZGA LIBRARY,2,180,9884,64.4973222,-165.4054974
AK0053-002,NORTHWAY COMMUNITY/SCHOOL LIBRARY,2,240,6969,62.95927,-141.9362156
AK0055-002,PALMER PUBLIC LIBRARY,2,170,95892,61.599967,-149.113048
AK0056-002,PELICAN PUBLIC LIBRARY,2,105,2134,57.9587365,-136.2239227
AK0057-002,PETERSBURG PUBLIC LIBRARY,2,195,3213,56.851799,-133.131502
AK0058-002,JESSIE WAKEFIELD MEMORIAL LIBRARY,2,150,14115,57.86639,-152.883684
AK0061-002,ST. PAUL ISLAND SCHOOL/COMMUNITY LIBRARY,2,16,5692,57.1209898,-170.2800724
AK0064-002,SELDOVIA PUBLIC LIBRARY,2,122,57067,59.4386818,-151.7145869
AK0065-002,SEWARD COMMUNITY LIBRARY MUSEUM,2,122,57067,60.1016983,-149.4387634
AK0067-002,KETTLESON MEMORIAL LIBRARY,2,220,9014,57.0495852,-135.3345211
AK0068-002,SKAGWAY PUBLIC LIBRARY,2,230,1012,59.4606145,-135.3080232
AK0069-002,SOLDOTNA PUBLIC LIBRARY,2,122,57067,60.4835693,-151.0674151
AK0070-002,SUTTON PUBLIC LIBRARY/COMMUNITY RESOURCE CENTER,2,170,95892,61.705952,-148.977161
AK0072-002,TALKEETNA PUBLIC LIBRARY,2,170,95892,62.3215917,-150.1080973
AK0073-002,TANANA COMMUNITY/SCHOOL LIBRARY,2,290,5654,65.329839,-151.957314
AK0074-002,DERMOTT O'TOOLE MEMORIAL LIBRARY,2,105,2134,57.7800673,-135.2169506
AK0075-002,TOK COMMUNITY LIBRARY,2,240,6969,63.910262,-142.214893
AK0077-002,VALDEZ CONSORTIUM LIBRARY,2,261,9770,61.129882,-146.353396
AK0078-002,WASILLA PUBLIC LIBRARY,2,170,95892,61.583125,-149.441482
AK0080-002,WILLOW PUBLIC LIBRARY,2,170,95892,61.33519,-150.851603
AK0081-002,IRENE INGLE PUBLIC LIBRARY,2,275,2404,56.4730653,-132.386938
AK0082-002,AKIAK SCHOOL/COMMUNITY LIBRARY,2,50,17806,60.917795,-161.228344
AK0085-002,FRANCES KIBBLE KENNY LAKE PUBLIC LIBRARY,2,261,9770,61.709958,-144.043021
AK0087-002,KOYUK PUBLIC LIBRARY,2,180,9884,64.93803,-161.141837
AK0091-002,TULUKSAK SCHOOL/COMMUNITY LIBRARY,2,50,17806,61.107769,-160.952397
AK0094-003,ALAK COMMUNITY/SCHOOL LIBRARY,2,185,9733,70.6390773,-160.0249975
AK0094-004,TIKIGAK SCHOOL/COMMUNITY LIBRARY,2,185,9733,68.3460608,-166.7717014
AK0094-005,NUNAMIUT SCHOOL/COMMUNITY LIBRARY,2,185,9733,68.1467502,-151.7278383
AK0094-006,MEADE RIVER SCHOOL/COMMUNITY LIBRARY,2,185,9733,70.4753844,-157.4186478
AK0094-007,HAROLD KAVEOLOOK SCHOOL/COMMUNITY LIBRARY,2,185,9733,70.1291083,-143.6312348
KS0274-005,LEROY,20,31,8415,38.0835826,-95.6337209
AK0094-008,NUIQSUT SCHOOL/COMMUNITY LIBRARY,2,185,9733,70.2231195,-151.0011339
AK0094-009,KALI SCHOOL/COMMUNITY LIBRARY,2,185,9733,69.7410522,-163.0165989
AK0094-010,TUZZY CONSORTIUM LIBRARY,2,185,9733,71.2984603,-156.7534146
AK0095-002,AKIACHAK SCHOOL/COMMUNITY LIBRARY,2,50,17806,59.012567,-161.825068
AK0097-002,ESTHER GREENWALD LIBRARY,2,105,2134,58.1082582,-135.4385608
AK0099-002,MOOSE PASS PUBLIC LIBRARY,2,122,57067,60.4873228,-149.3684553
AK0100-002,NIKOLAI COMMUNITY/SCHOOL LIBRARY,2,290,5654,63.010723,-154.377316
AK0101-002,SAND POINT COMMUNITY/SCHOOL LIBRARY,2,13,3351,55.3533513,-160.4813624
AK0102-002,EGEGIK VILLAGE LIBRARY,2,164,1662,58.210776,-157.345234
AK0103-002,TRAPPER CREEK PUBLIC LIBRARY,2,170,95892,62.3072213,-150.246221
AK0104-002,HOLY CROSS COMMUNITY/SCHOOL LIBRARY,2,290,5654,62.057258,-160.023886
AK0113-002,OUZINKIE TRIBAL MEDIA CENTER,2,150,14115,57.9225351,-152.4946421
AK0114-002,ST. GEORGE ISLAND SCHOOL/COMMUNITY LIBRARY,2,16,5692,56.581679,-169.616909
AK0115-002,UNALASKA PUBLIC LIBRARY,2,16,5692,53.8704886,-166.5295673
AK0116-002,ANIAK PUBLIC LIBRARY,2,50,17806,61.496996,-156.70387
AK0117-002,HYDER PUBLIC LIBRARY,2,198,6402,55.9512325,-130.054261
AK0120-002,INNOKO RIVER COMMUNITY/SCHOOL AND TRIBAL LIBRARY,2,290,5654,62.682486,-159.837595
AK0121-002,ANVIK COMMUNITY/SCHOOL LIBRARY,2,290,5654,63.235938,-159.72838
101-001,ASHLAND CITY PUBLIC LIBRARY,1,27,13506,33.274741,-85.837242
AK0122-002,GRAYLING COMMUNITY/SCHOOL LIBRARY,2,290,5654,64.075022,-159.676935
AK0124-002,LAKE MINCHUMINA COMMUNITY LIBRARY,2,290,5654,63.848952,-152.427523
AK0126-002,IGIUGIG TRIBAL LIBRARY,2,60,955,58.748921,-156.57377
AK0127-002,COFFMAN COVE COMMUNITY LIBRARY,2,198,6402,55.357009,-131.69729
AK0130-002,THORNE BAY PUBLIC LIBRARY,2,198,6402,55.6868741,-132.5233422
AK0133-002,PILOT POINT TRIBAL LIBRARY,2,164,1662,59.114991,-156.842749
AK0134-001,WHALE PASS COMMUNITY LIBRARY,2,198,6402,56.1135692,-133.1211057
AK0135-001,TOGIAK PUBLIC LIBRARY AND CULTURAL CENTER,2,70,4988,59.059753,-160.391336
AK0136-001,SCAMMON BAY PUBLIC LIBRARY,2,270,7952,61.534112,-166.081432
AK0137-001,KLUKWAN COMMUNITY/SCHOOL LIBRARY,2,100,2569,59.23259,-135.448159
AL0001-003,CARL ELLIOTT REGIONAL LIBRARY SYSTEM,1,127,65859,33.8333948,-87.2739076
100-001,ARLEY PUBLIC LIBRARY,1,133,24187,34.0500512,-87.2234374
100-002,DOUBLE SPRINGS PUBLIC LIBRARY,1,133,24187,34.1469989,-87.3833998
100-004,HALEYVILLE PUBLIC LIBRARY,1,133,24187,34.2263998,-87.623363
100-005,JASPER PUBLIC LIBRARY,1,127,65859,33.8333948,-87.2739076
100-006,SUMITON PUBLIC LIBRARY,1,127,65859,33.7495769,-87.0495275
100-008,CHEAHA REGIONAL LIBRARY,1,29,15017,33.6437581,-85.5889203
AL0010-006,CHEAHA REGIONAL BOOKMOBILE,1,29,15017,33.6437581,-85.5889203
