FSCSKEY,LIB_ID,LIB_NAME,COUNTY,SQ_FEET,HOURS,WKS_OPEN,FIPSST,FIPSCO,COUNTY_POP,LAT,LON
AK0001,AK0001-002,ANCHOR POINT PUBLIC LIBRARY,KENAI PENINSULA,1287,1404,52,2,122,57067,59.7796042,-151.8400068
AK0002,AK0002-007,CHUGIAK/EAGLE RIVER NEIGHBORHOOD LIBRARY,ANCHORAGE,17888,2028,52,2,20,301629,61.328973,-149.572216
AK0002,AK0002-008,MULDOON NEIGHBORHOOD LIBRARY,ANCHORAGE,8232,1768,52,2,20,301629,61.210605,-149.733371
AK0002,AK0002-010,SCOTT AND WESLEY GERRISH NEIGHBORHOOD LIBRARY,ANCHORAGE,3938,1716,52,2,20,301629,60.971814,-149.126406
AK0002,AK0002-011,Z. J. LOUSSAC LIBRARY,ANCHORAGE,140000,3328,52,2,20,301629,61.187677,-149.876781
AK0002,AK0002-012,MOUNTAIN VIEW NEIGHBORHOOD LIBRARY,ANCHORAGE,10704,1768,52,2,20,301629,61.2237619,-149.8085248
AK0003,AK0003-002,ANDERSON VILLAGE LIBRARY,DENALI,3041,600,50,2,68,1933,64.3435982,-149.1786346
AK0006,AK0006-002,KUSKOKWIM CONSORTIUM LIBRARY,BETHEL,3656,2652,52,2,50,17806,60.7857552,-161.8029566
AK0007,AK0007-002,BIG LAKE PUBLIC LIBRARY,MATANUSKA-SUSITNA,6940,2548,52,2,170,95892,61.546612,-149.818403
AK0008,AK0008-002,CANTWELL COMMUNITY LIBRARY,DENALI,1363,750,48,2,68,1933,63.461051,-148.757407
AK0011,AK0011-002,CHINIAK PUBLIC LIBRARY,KODIAK ISLAND,1000,480,48,2,150,14115,57.6122291,-152.2325806
AK0014,AK0014-002,COLD BAY PUBLIC LIBRARY,ALEUTIANS EAST,1100,500,48,2,13,3351,55.206634,-162.7133916
AK0015,AK0015-002,COOPER LANDING COMMUNITY LIBRARY,KENAI PENINSULA,1320,1092,52,2,122,57067,60.487401,-150.010519
AK0016,AK0016-002,CORDOVA PUBLIC LIBRARY,VALDEZ-CORDOVA,2800,2444,52,2,261,9770,60.5479952,-145.766031
AK0017,AK0017-003,CRAIG PUBLIC LIBRARY,PR WALES-OUTER KE,1800,2256,52,2,198,6402,55.4761261,-133.1514564
AK0019,AK0019-002,DELTA COMMUNITY LIBRARY,SE FAIRBANK,5000,2600,52,2,240,6969,64.0465711,-145.7334852
AK0020,AK0020-002,DILLINGHAM PUBLIC LIBRARY,DILLINGHAM,2430,1988,52,2,70,4988,59.0402542,-158.4667361
AK0021,AK0021-002,EAGLE PUBLIC LIBRARY,SE FAIRBANK,1500,713,51,2,240,6969,64.786619,-141.201518
AK0041,AK0041-002,CHUKCHI CONSORTIUM LIBRARY,NORTHWEST ARCTIC,1700,2392,52,2,188,7697,66.8970613,-162.5928328
AK0023,AK0023-002,FAIRBANKS NORTH STAR BOROUGH PUBLIC LIBRARY,FAIRBANKS NORTH STAR,62100,3224,52,2,90,100807,64.838318,-147.738617
AK0023,AK0023-003,NORTH POLE BRANCH LIBRARY,FAIRBANKS NORTH STAR,4200,2080,52,2,90,100807,64.749182,-147.350711
AK0023,AK0023-004,FAIRBANKS NORTH STAR BOROUGH PUBLIC LIBRARY,FAIRBANKS NORTH STAR,-3,1820,52,2,90,100807,64.838318,-147.738617
AK0025,AK0025-002,CHARLES EVANS COMMUNITY/SCHOOL LIBRARY,YUKON-KOYUKUK,1500,750,48,2,290,5654,64.7480237,-156.8723252
AK0027,AK0027-002,COPPER VALLEY COMMUNITY LIBRARY,VALDEZ-CORDOVA,2000,1508,51,2,261,9770,62.198412,-146.050333
AK0028,AK0028-002,GUSTAVUS PUBLIC LIBRARY,SKAGWAY-ANGOON,3052,1248,51,2,105,2134,58.4130833,-135.726709
AK0029,AK0029-002,HAINES BOROUGH PUBLIC LIBRARY,HAINES,8400,3016,52,2,100,2569,59.232844,-135.4480632
AK0030,AK0030-002,TRI-VALLEY COMMUNITY LIBRARY,DENALI,4560,1120,51,2,68,1933,63.8734912,-149.0170333
AK0031,AK0031-002,HOLLIS PUBLIC LIBRARY,PR WALES-OUTER KE,2300,1050,48,2,198,6402,55.781881,-133.075907
AK0032,AK0032-002,HOMER PUBLIC LIBRARY,KENAI PENINSULA,17000,2917,52,2,122,57067,59.640502,-151.544299
AK0033,AK0033-002,HOPE COMMUNITY LIBRARY,KENAI PENINSULA,2304,1188,52,2,122,57067,60.109417,-149.445094
AK0035,AK0035-002,DOUGLAS PUBLIC LIBRARY,JUNEAU,8000,1872,52,2,110,32626,58.276862,-134.395337
AK0035,AK0035-003,MENDENHALL VALLEY PUBLIC LIBRARY,JUNEAU,9391,3224,52,2,110,32626,58.3717703,-134.5846906
AK0035,AK0035-004,JUNEAU PUBLIC LIBRARIES,JUNEAU,17000,2704,52,2,110,32626,58.2984755,-134.4036617
AK0037,AK0037-002,KASILOF PUBLIC LIBRARY,KENAI PENINSULA,2553,1008,49,2,122,57067,60.3125872,-151.2603381
AK0038,AK0038-002,KENAI COMMUNITY LIBRARY,KENAI PENINSULA,20000,3072,52,2,122,57067,60.5585732,-151.2442311
AK0039,AK0039-002,KETCHIKAN PUBLIC LIBRARY,KETCHIKAN GATEWAY,16726,2538,47,2,130,13695,55.352711,-131.650729
AK0040,AK0040-002,A. HOLMES JOHNSON MEMORIAL LIBRARY,KODIAK ISLAND,9202,3344,52,2,150,14115,57.7939208,-152.3986029
IA0018,AR,LEON PUBLIC LIBRARY,DECATUR,3062,1700,52,19,53,8245,40.7395297,-93.7493247
