STATE,STATE_POP,CEN_LIB,BRAN_LIB,BK_MOB,MS_LIBRARIANS,LIBRARIANS,TOT_STAFF,LOC_GVT,ST_GVT,FED_GVT,OTH_INCOME,TOT_INCOME,SALARIES,STAFF_EXP,PR_MAT_EXP,EL_MAT_EXP,OTH_MAT_EX,TOT_EXP_CO,OTHO_P_EXP,TOT_OP_EXP,L_CAP_REV,S_CAP_REV,F_CAP_REV,O_CAP_REV,TOT_CAP_REV,CAPITAL,BOOKS,EBOOKS,DB_LO_OT,DB_ST,DATABASE,SUBSCRIP,HRS_OPEN,VISITS,CARDHOLDERS,TOT_CIR,EL_MAT_CIR,GPTERMS,PITUSR,FIPSST
AK,736399,84,16,1,60.51,109.47,313.71,31146025,724882,1432549,2946130,36249586,14592742,23587473,2099272,395311,570255,3064838,9238344,35890655,2219707,20746669,507104,698516,24171996,36222524,2439730,358779,685,4116,4801,5133,151471,3376309,336841,4625365,192174,904,795120,2
AL,4802740,221,75,13,314.88,759.96,1771.36,86202879,4783692,1029138,8866206,100881915,53483277,67145610,6413176,1443638,2662219,10519033,20472764,98137407,2504677,0,322763,4002461,6829901,7947146,9723150,1776750,951,15592,16543,9444,621630,16617640,2754535,20873534,1637385,5264,4757239,1
AR,2915918,53,164,1,139.38,264.28,982.67,61755127,5262565,116079,4438695,71572466,32408337,42017978,5868994,2083662,1896265,9848921,17057182,68924081,8997561,122334,0,934069,10053964,10759477,6578816,331532,600,2984,3584,8977,429331,10574105,1503721,14431248,-1,2376,2128528,5
AS,66692,1,1,0,1,8,11,0,365750,108000,15000,488750,278079,311664,25573,20313,7852,53738,129056,494458,0,0,0,0,0,0,39890,0,0,2,2,2,2236,59264,20843,25938,-1,20,6687,60
AZ,6581054,85,134,10,462.18,551.13,2084.98,163880320,1555009,2054104,7193830,174683263,76545071,104322286,13284623,6240291,5746939,25271853,45124844,174718983,4960120,123564,0,192386,5276070,2436336,8446171,1076863,1061,2366,3427,15202,483404,27606792,3376539,47617904,2683105,5571,6907502,4
CA,37966471,166,949,56,2946.97,3143.95,11360.43,1194546331,14497004,4437552,64033777,1277514664,550183236,813010604,65924295,20232843,18165107,104322245,288669243,1206002092,60939542,3701033,1272439,5051142,70964156,159402395,67640760,1761806,3911,149,4060,101562,2201530,165501141,21596165,227597939,7537069,21030,34723633,6
CO,5188683,97,155,13,610.25,864.73,2995.73,259111301,1098831,944413,15516150,276670695,126638649,161349093,15979931,8195866,9731416,33907213,61154746,256411052,17887723,88356,6485,3249134,21231698,30495721,10823244,1228287,2038,0,2038,21433,603480,32772334,3517109,65668877,3614215,6021,7003013,8
CT,3590347,193,46,4,759.42,1108.24,2316.56,170408243,1574377,542628,23407162,195932410,114233113,146998034,12710409,3405406,3239556,19355371,35991933,202345338,3155440,1753999,457000,1183530,6549969,7871895,15264395,1004857,1602,5036,6638,23073,544395,23092578,1735150,32696879,696606,4371,4912738,9
DC,632323,1,25,0,158,158,540.9,41582857,0,996121,429386,43008364,25058825,30594083,1945866,1300000,465000,3710866,8342035,42646984,23026976,0,0,0,23026976,16728489,1802305,80939,77,0,77,2309,65208,2477389,315737,3295485,287295,1000,855338,11
DE,917060,19,13,2,62.14,115.55,329.93,19051605,3944742,12274,1369265,24377886,12276009,16503739,1802744,230090,607753,2640587,5160293,24304619,496140,6709099,0,4336317,11541556,12036436,1642391,263193,51,735,786,4559,83385,3717974,417577,6109223,158685,714,638282,10
FL,19526504,60,469,26,1648.89,1912.1,6068.51,440961767,22684687,1450152,22201811,487298417,226749613,305373675,34153573,14376835,10348513,58878921,146927910,511180506,43093431,95344,140527,261271,43590573,42565759,31350819,1481712,1963,4080,6043,49306,1251876,78893035,10635179,120986377,11841985,16386,18953732,12
GA,10660977,61,330,16,605,605,2699,158661697,24810951,388176,11239648,195100472,92178734,128450128,10740417,2523958,2748006,16012381,34190858,178653367,27112634,9895447,50000,135939,37194020,29021522,16089310,272955,236,10065,10301,16515,825035,30987147,4756949,41451474,970168,8085,12993797,13
GU,159358,1,5,1,0,0,21,1145124,0,0,59336,1204460,614600,864065,5700,42083,0,47783,27431,939279,0,0,158345,0,158345,0,260586,0,2,0,2,74,8029,98969,59048,46448,0,832,29861,66
HI,1392313,1,49,2,172,174,555,0,26721479,1343101,2591172,30655752,20671528,20890036,1736893,985221,90271,2812385,6823267,30525688,0,5570000,0,0,5570000,4873749,3371766,15830,0,85,85,2787,91760,5153386,981460,6625551,171830,523,668625,15
IA,3090416,543,24,3,284.9,964,1688.45,105114549,2144335,58511,10285005,117602400,58424812,76349234,9503575,1800031,3402032,14705638,21202457,112257329,24154006,188432,386976,4081094,28810508,12185969,12033109,2916000,1030,7369,8399,31090,998451,18783522,2048147,28351216,1145028,4540,3584584,19
ID,1407299,100,44,12,92.65,213.31,761.39,43730254,1179496,60880,3834754,48805384,22462939,29572733,3658285,582489,651854,4892628,10587974,45053335,1481482,6815,22597,203400,1714294,6631849,4357460,78622,185,4590,4775,6351,276856,8898059,801245,14789151,526134,1812,2065537,16
IL,12830632,625,154,19,2109.32,3137.13,8634.66,703234516,32047049,3477496,38800305,777559366,365815272,457281595,49319438,17702592,13822368,80844398,163440247,701566240,66058521,1767171,167262,9406168,77399122,89200394,43400357,4265531,7622,13750,21372,100715,1921078,75531075,6814354,119391577,-1,14911,14557951,17
IN,6483802,237,195,29,950.41,1433.9,4416.7,274995673,19316931,981114,14813064,310106782,142499025,188201934,25545205,8318980,8453713,42317898,70766797,301286629,26158769,1681345,44485,1025696,28910295,32736772,24066234,2124076,2006,14694,16700,47691,1093741,36944165,3757048,77560456,8134837,8522,7770927,18
