STABR,LIBID,LIBNAME,CNTY,BKMOB,MASTER,LIBRARIA,LOCGVT,STGVT,FEDGVT,OTHINCM,TOTINCM,STAFFEXP,PRMATEXP,ELMATEXP,OTHMATEX,TOTEXPCO,OTHOPEXP,TOTOPEXP,LCAP_REV,SCAP_REV,FCAP_REV,OCAP_REV,CAP_REV,CAPITAL,BKVOL,EBOOK,DB_LO_OT,DB_ST,DATABASE,SUBSCRIP,HRS_OPEN,VISITS,REGBOR,TOTCIR,ELMATCIR,GPTERMS,PITUSR,YR_SUB,OBEREG,FIPSST,FIPSCO,FIPSPLAC,CNTYPOP,LAT,LON
KS,KS0094,FORMOSO PUBLIC LIBRARY,JEWELL,0,0,0.25,$4842.00,$3366.00,$201.00,0,$8409.00,,$207.00,$0.00,$0.00,$207.00,,$7399.00,$420.00,$0.00,$0.00,$0.00,$420.00,$0.00,5308,0,0,51,51,40,520,1674,276,1608,0,7,542,2014,4,20,89,23825,3067,39.7804842,-97.9931789
KS,KS0231,NORCATUR PUBLIC LIBRARY,DECATUR,0,0,0.12,$2511.00,$1060.00,$0.00,1000,$4571.00,,$1025.00,$0.00,$500.00,$1525.00,,$3525.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,7780,0,0,51,51,0,664,370,100,1700,0,2,25,2014,4,20,39,50925,2915,39.8339357,-100.189189
KS,KS0014,AXTELL PUBLIC LIBRARY,MARSHALL,0,0,0.3,$5960.00,$1411.00,$0.00,113,$7484.00,,$1250.00,$0.00,$161.00,$1411.00,,$7587.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,5969,0,0,51,51,0,624,2070,202,1835,0,4,629,2014,4,20,117,3600,10028,39.8724771,-96.2591012
ME,264,MONROE COMMUNITY LIBRARY,WALDO,0,0,0,$500.00,$0.00,$0.00,0,$500.00,,$367.00,$0.00,$0.00,$367.00,,$367.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,2100,0,0,0,0,0,1664,600,48,584,0,0,0,2014,1,23,27,0,38975,44.5685775,-69.0060583
ME,310,PALERMO COMMUNITY LIBRARY,WALDO,0,0,0,$3712.00,$0.00,$0.00,2837,$6549.00,,$367.00,$0.00,$0.00,$367.00,,$2229.00,$0.00,$0.00,$0.00,$0.00,$0.00,$92.00,8548,0,66,0,66,0,660,689,761,1302,0,3,1749,2014,1,23,27,0,38975,44.373118,-69.3948386
ND,ND0104,ELGIN PUBLIC LIBRARY,GRANT,0,0,0,$2300.00,$431.00,$0.00,10837,$13568.00,,$0.00,$71.00,$0.00,$71.00,,$6016.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,9800,0,31,25,56,0,2040,4029,226,2099,0,4,590,2014,4,38,37,23020,2371,46.4023898,-101.8455418
NE,NE0008-003,ANSLEY TOWNSHIP LIBRARY,CUSTER,0,0,0.24,$4492.00,$0.00,$0.00,223,$4715.00,,$0.00,$0.00,$0.00,$0.00,,$6486.00,$0.00,$0.00,$0.00,$0.00,$0.00,$1827.00,22324,0,0,20,20,38,312,985,220,1193,-1,5,1309,2014,4,31,41,1535,10796,41.2879706,-99.3806397
SD,FSCS 69,WAGE MEMORIAL LIBRARY,BROWN,0,0,0.13,$3299.00,$0.00,$0.00,71,$3370.00,,$458.00,$0.00,$185.00,$643.00,,$3475.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,3039,0,0,40,40,0,2340,800,1400,1969,0,2,243,2014,4,46,13,26340,38162,45.447608,-98.098644
SD,FSCS 73,TRIPP PUBLIC LIBRARY,HUTCHINSON,0,0,0.13,$4500.00,$0.00,$0.00,468,$4968.00,,$249.00,$0.00,$300.00,$549.00,,$4733.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,6756,0,0,40,40,0,416,5824,251,4089,0,4,273,2014,4,46,67,64020,7170,43.2264285,-97.9670374
TX,169,GROVETON PUBLIC LIBRARY,TRINITY,0,0,0.5,$21393.00,$0.00,$0.00,357,$21750.00,,$915.00,$0.00,$0.00,$915.00,,$19939.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,7280,0,0,0,0,5,1968,2998,593,2469,0,2,1750,2014,6,48,455,31340,14401,31.0612023,-95.1366214
