STABR,POPU_ST,CENTLIB,BRANLIB,BKMOB,MASTER,LIBRARIA,TOTSTAFF,LOCGVT,STGVT,FEDGVT,OTHINCM,TOTINCM,SALARIES,STAFFEXP,PRMATEXP,ELMATEXP,OTHMATEX,TOTEXPCO,OTHOPEXP,TOTOPEXP,LCAP_REV,SCAP_REV,FCAP_REV,OCAP_REV,CAP_REV,CAPITAL,BKVOL,EBOOK,DB_LO_OT,DB_ST,DATABASE,SUBSCRIP,HRS_OPEN,VISITS,REGBOR,TOTCIR,ELMATCIR,GPTERMS,PITUSR,FIPSST
AK,736399,84,16,1,60.51,109.47,313.71,$31146025.00,$724882.00,$1432549.00,$2946130.00,$36249586.00,$14592742.00,$23587473.00,$2099272.00,$395311.00,$570255.00,$3064838.00,$9238344.00,$35890655.00,$2219707.00,$20746669.00,$507104.00,$698516.00,$24171996.00,$36222524.00,2439730,358779,685,4116,4801,5133,151471,3376309,336841,4625365,192174,904,795120,2
AL,4802740,221,75,13,314.88,759.96,1771.36,$86202879.00,$4783692.00,$1029138.00,$8866206.00,$100881915.00,$53483277.00,$67145610.00,$6413176.00,$1443638.00,$2662219.00,$10519033.00,$20472764.00,$98137407.00,$2504677.00,$0.00,$322763.00,$4002461.00,$6829901.00,$7947146.00,9723150,1776750,951,15592,16543,9444,621630,16617640,2754535,20873534,1637385,5264,4757239,1
AR,2915918,53,164,1,139.38,264.28,982.67,$61755127.00,$5262565.00,$116079.00,$4438695.00,$71572466.00,$32408337.00,$42017978.00,$5868994.00,$2083662.00,$1896265.00,$9848921.00,$17057182.00,$68924081.00,$8997561.00,$122334.00,$0.00,$934069.00,$10053964.00,$10759477.00,6578816,331532,600,2984,3584,8977,429331,10574105,1503721,14431248,-1,2376,2128528,5
AS,66692,1,1,0,1,8,11,$0.00,$365750.00,$108000.00,$15000.00,$488750.00,$278079.00,$311664.00,$25573.00,$20313.00,$7852.00,$53738.00,$129056.00,$494458.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,39890,0,0,2,2,2,2236,59264,20843,25938,-1,20,6687,60
AZ,6581054,85,134,10,462.18,551.13,2084.98,$163880320.00,$1555009.00,$2054104.00,$7193830.00,$174683263.00,$76545071.00,$104322286.00,$13284623.00,$6240291.00,$5746939.00,$25271853.00,$45124844.00,$174718983.00,$4960120.00,$123564.00,$0.00,$192386.00,$5276070.00,$2436336.00,8446171,1076863,1061,2366,3427,15202,483404,27606792,3376539,47617904,2683105,5571,6907502,4
CA,37966471,166,949,56,2946.97,3143.95,11360.43,$1194546331.00,$14497004.00,$4437552.00,$64033777.00,$1277514664.00,$550183236.00,$813010604.00,$65924295.00,$20232843.00,$18165107.00,$104322245.00,$288669243.00,$1206002092.00,$60939542.00,$3701033.00,$1272439.00,$5051142.00,$70964156.00,$159402395.00,67640760,1761806,3911,149,4060,101562,2201530,165501141,21596165,227597939,7537069,21030,34723633,6
CO,5188683,97,155,13,610.25,864.73,2995.73,$259111301.00,$1098831.00,$944413.00,$15516150.00,$276670695.00,$126638649.00,$161349093.00,$15979931.00,$8195866.00,$9731416.00,$33907213.00,$61154746.00,$256411052.00,$17887723.00,$88356.00,$6485.00,$3249134.00,$21231698.00,$30495721.00,10823244,1228287,2038,0,2038,21433,603480,32772334,3517109,65668877,3614215,6021,7003013,8
CT,3590347,193,46,4,759.42,1108.24,2316.56,$170408243.00,$1574377.00,$542628.00,$23407162.00,$195932410.00,$114233113.00,$146998034.00,$12710409.00,$3405406.00,$3239556.00,$19355371.00,$35991933.00,$202345338.00,$3155440.00,$1753999.00,$457000.00,$1183530.00,$6549969.00,$7871895.00,15264395,1004857,1602,5036,6638,23073,544395,23092578,1735150,32696879,696606,4371,4912738,9
DC,632323,1,25,0,158,158,540.9,$41582857.00,$0.00,$996121.00,$429386.00,$43008364.00,$25058825.00,$30594083.00,$1945866.00,$1300000.00,$465000.00,$3710866.00,$8342035.00,$42646984.00,$23026976.00,$0.00,$0.00,$0.00,$23026976.00,$16728489.00,1802305,80939,77,0,77,2309,65208,2477389,315737,3295485,287295,1000,855338,11
DE,917060,19,13,2,62.14,115.55,329.93,$19051605.00,$3944742.00,$12274.00,$1369265.00,$24377886.00,$12276009.00,$16503739.00,$1802744.00,$230090.00,$607753.00,$2640587.00,$5160293.00,$24304619.00,$496140.00,$6709099.00,$0.00,$4336317.00,$11541556.00,$12036436.00,1642391,263193,51,735,786,4559,83385,3717974,417577,6109223,158685,714,638282,10
